Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Lead Score,Priority,Social Presence,Web Search Verification,Source
JAIN DENTAL CENTRE | Painless Dentistry | Specialist Implant & Multispeciality Clinic,,+91 98450 44319,"A-101Brigade Majestic 1st Main near girias Above Airtel, Kalidasa Marg, behind pothys",4.8,411,Unknown,https://www.google.com/maps/place/JAIN+DENTAL+CENTRE+%7C+Painless+Dentistry+%7C+Specialist+Implant+%26+Multispeciality+Clinic/data=!4m7!3m6!1s0x3bae160ef48499ed:0x64ba8138e8396e19!8m2!3d12.9757762!4d77.579427!16s%2Fg%2F1w6_m826!19sChIJ7ZmE9A4WrjsRGW456DiBumQ?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Comprehensive Dental & Implant Centre,,+91 80 4211 4432,"7, Cornwell Rd",4.9,241,Unknown,https://www.google.com/maps/place/Comprehensive+Dental+%26+Implant+Centre/data=!4m7!3m6!1s0x3bae15d718dcccfb:0x9b2df5b636681a42!8m2!3d12.9631416!4d77.5990422!16s%2Fg%2F11b6dnpv21!19sChIJ-8zcGNcVrjsRQhpoNrb1LZs?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Asian Dental Care,,+91 89717 63097,"18, Lady Curzon Rd, near Bowring Hospital Road",5.0,122,Unknown,https://www.google.com/maps/place/Asian+Dental+Care/data=!4m7!3m6!1s0x3bae17d91a84339b:0xf1dafd7fe14e0fc9!8m2!3d12.9807141!4d77.6039508!16s%2Fg%2F11j4xs8mpt!19sChIJmzOEGtkXrjsRyQ9O4X_92vE?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
devaki dental and oral health clinic,,+91 98459 13898,"627/1 2nd Main Road near Canara bank, Brazelhaus, 11th Cross Rd",4.9,505,Unknown,https://www.google.com/maps/place/devaki+dental+and+oral+health+clinic/data=!4m7!3m6!1s0x3bae17822ade322d:0x8073977b1f699aa9!8m2!3d12.9823467!4d77.6383965!16s%2Fg%2F1ptxqn888!19sChIJLTLeKoIXrjsRqZppH3uXc4A?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
I-Smile Dental & Aesthetic Care,,+91 88618 29655,"72, New Thippasandra Main Rd, near Durga Temple, above Apollo pharmacy",5.0,324,Unknown,https://www.google.com/maps/place/I-Smile+Dental+%26+Aesthetic+Care/data=!4m7!3m6!1s0x3bae114a0bcfa9cd:0x8aa16e255d5e79bf!8m2!3d12.9718861!4d77.6549754!16s%2Fg%2F11scs6vvdw!19sChIJzanPC0oRrjsRv3leXSVuoYo?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
"Dr. Chahal Aesthetic Clinic, Indiranagar |Dental Services|Botox & Fillers|PRP|Hair Transplant Centre|Skin Care Services",,+91 74834 63698,"The Life Plus Hospital, 266/C, 80 Feet Rd",5.0,350,Unknown,"https://www.google.com/maps/place/Dr.+Chahal+Aesthetic+Clinic,+Indiranagar+%7CDental+Services%7CBotox+%26+Fillers%7CPRP%7CHair+Transplant+Centre%7CSkin+Care+Services/data=!4m7!3m6!1s0x3bae174dc4341d7d:0xd866979e5f4a12f6!8m2!3d12.975598!4d77.6469534!16s%2Fg%2F11k6xyyvc4!19sChIJfR00xE0XrjsR9hJKX56XZtg?authuser=0&hl=en&rclk=1",73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Happy Teeth Happy Faces,,+91 92431 02024,"308, 2nd Main Rd",4.9,178,Unknown,https://www.google.com/maps/place/Happy+Teeth+Happy+Faces/data=!4m7!3m6!1s0x3bae141a7054e407:0xd5d720326116b983!8m2!3d12.9582551!4d77.6382099!16s%2Fg%2F1w6r6qgl!19sChIJB-RUcBoUrjsRg7kWYTIg19U?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Whitefield Dental Clinic,,+91 95917 68216,Immadihalli Main Rd,4.8,220,Unknown,https://www.google.com/maps/place/Whitefield+Dental+Clinic/data=!4m7!3m6!1s0x3bae0dba7577c871:0xe892840a9029b4a0!8m2!3d12.9699615!4d77.7666713!16s%2Fg%2F11t5m0b5sc!19sChIJcch3dboNrjsRoLQpkAqEkug?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Sweet Tooth Dental Clinic - Best Dental Clinic In Whitefield Bengaluru | Dentist in Whitefield Bengaluru ||,,+91 99872 58069,"Shop No.3, Buildwell Homes, Borewell Rd",5.0,163,Unknown,https://www.google.com/maps/place/Sweet+Tooth+Dental+Clinic+-+Best+Dental+Clinic+In+Whitefield+Bengaluru+%7C+Dentist+in+Whitefield+Bengaluru+%7C%7C/data=!4m7!3m6!1s0x3bae13d2fdd28995:0xa32424f217aee81d!8m2!3d12.9692242!4d77.7382963!16s%2Fg%2F11h4vn6bb9!19sChIJlYnS_dITrjsRHeiuF_IkJKM?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
White Cross Dental,,+91 95153 01603,"Shop:20, First Floor, Arya Hub, Whitefield",4.8,233,Unknown,https://www.google.com/maps/place/White+Cross+Dental/data=!4m7!3m6!1s0x3bae0e048936ef15:0x190d93b64ed34a66!8m2!3d12.9833914!4d77.7518672!16s%2Fg%2F11f2wll416!19sChIJFe82iQQOrjsRZkrTTraTDRk?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
