Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Lead Score,Priority,Social Presence,Web Search Verification,Source
Khaana Mehfil Restaurant Abu Dhabi,,+971 52 496 6411,AED 1–50,4.9,378,Unknown,https://www.google.com/maps/place/Khaana+Mehfil+Restaurant+Abu+Dhabi/data=!4m7!3m6!1s0x3e5e67163d802b21:0x162e3818e7aee068!8m2!3d24.5009374!4d54.37505!16s%2Fg%2F11pzx9b8g_!19sChIJISuAPRZnXj4RaOCu5xg4LhY?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Nando's - The View Mall,,+966 56 478 4519,"Cenomi The View Mall, Gate 7, Ali Izat Bighufich St Level 1",4.8,3503,Unknown,https://www.google.com/maps/place/Nando%27s+-+The+View+Mall/data=!4m7!3m6!1s0x3e2f03e006007455:0xb6f1609338f214d3!8m2!3d24.6961972!4d46.7286853!16s%2Fg%2F11tfxrwgd8!19sChIJVXQABuADLz4R0xTyOJNg8bY?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Bellbird,,+966 55 083 0061,"3739 Al Thoumamah Rd, RARB7241, 7241",4.6,8945,Unknown,https://www.google.com/maps/place/Bellbird/data=!4m7!3m6!1s0x3e2ee3d7ab32400f:0xec098f0de03b1f9d!8m2!3d24.7885338!4d46.6478993!16s%2Fg%2F11j_6gpfl8!19sChIJD0Ayq9fjLj4RnR874A2PCew?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Makan Indian Restaurant,,+966 57 351 4100,Prince Mohammed Bin Abdulaziz St,4.7,13292,Unknown,https://www.google.com/maps/place/Makan+Indian+Restaurant/data=!4m7!3m6!1s0x15c3c5e10f3163fd:0xcd2d174366095ced!8m2!3d21.5493026!4d39.1390245!16s%2Fg%2F11pzbpy7_b!19sChIJ_WMxD-HFwxUR7VwJZkMXLc0?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
مطعم ذا باي الهندي | The Bay Restaurant,,+966 56 737 6168,Prince Mohammed Bin Abdulaziz St,4.6,3457,Unknown,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%B0%D8%A7+%D8%A8%D8%A7%D9%8A+%D8%A7%D9%84%D9%87%D9%86%D8%AF%D9%8A+%7C+The+Bay+Restaurant%E2%80%AD/data=!4m7!3m6!1s0x15c16330e6b3451b:0x176050449652bda6!8m2!3d21.5491491!4d39.1646313!16s%2Fg%2F11rd8ftz1_!19sChIJG0Wz5jBjwRURpr1SlkRQYBc?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Da Bao,,+966 56 516 1760,"dist, Prince Saud Al Faisal، Rovan tower",4.6,3521,Unknown,https://www.google.com/maps/place/Da+Bao/data=!4m7!3m6!1s0x15c3d130ffc36c45:0xc8f9c37c1a397609!8m2!3d21.5620506!4d39.161459!16s%2Fg%2F11lfg_y7lr!19sChIJRWzD_zDRwxURCXY5GnzD-cg?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Pescado Seafood Grills - Ajman,,+971 6 747 4313,,4.5,1253,Unknown,https://www.google.com/maps/place/Pescado+Seafood+Grills+-+Ajman/data=!4m7!3m6!1s0x3e5f59e23dab3c9b:0x6178b402ee54750a!8m2!3d25.4019157!4d55.4304511!16s%2Fg%2F11rj5nsppr!19sChIJmzyrPeJZXz4RCnVU7gK0eGE?authuser=0&hl=en&rclk=1,88,Hot,link_in_bio,no matching own-domain result in top results (checked 2x),Google Maps
KUY's Grill & Restaurant,,+966 58 240 6854,"6913 Ibn Al Qassab, 2449, 6966, Abu Bakr Alrazi St, 6966, As Sulimaniyah,2467",4.0,489,Unknown,https://www.google.com/maps/place/KUY%27s+Grill+%26+Restaurant/data=!4m7!3m6!1s0x3e2f0322e5244481:0xd24202bdb41d21c6!8m2!3d24.6921998!4d46.7035896!16s%2Fg%2F11tc7mk0bj!19sChIJgUQk5SIDLz4RxiEdtL0CQtI?authuser=0&hl=en&rclk=1,88,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
مطعم في بيروت جدة | At Beirut Jeddah,,+966 50 054 7799,Al Batarji Branch,4.5,2143,Unknown,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D9%81%D9%8A+%D8%A8%D9%8A%D8%B1%D9%88%D8%AA+%D8%AC%D8%AF%D8%A9+%7C+At+Beirut+Jeddah%E2%80%AD/data=!4m7!3m6!1s0x15c3db007345e881:0xb8d6d3f6f22746d6!8m2!3d21.5974832!4d39.1297008!16s%2Fg%2F11wq7ntgp9!19sChIJgehFcwDbwxUR1kYn8vbT1rg?authuser=0&hl=en&rclk=1,88,Hot,link_in_bio,no matching own-domain result in top results (checked 2x),Google Maps
Entrecote Café de Paris (The Souk at Qaryat Al Beri),,+971 2 557 6508,The Souq Qaryat Al Beri Area,4.5,637,Unknown,https://www.google.com/maps/place/Entrecote+Caf%C3%A9+de+Paris+%28The+Souk+at+Qaryat+Al+Beri%29/data=!4m7!3m6!1s0x3e5e416283aa6843:0x5702bb976cfd816e!8m2!3d24.4084984!4d54.49116!16s%2Fg%2F1pp2tvx5r!19sChIJQ2iqg2JBXj4RboH9bJe7Alc?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Shababeek Restaurant,,+971 6 554 0444,"Block ‘B’, Big Wheel Side",4.6,733,Unknown,https://www.google.com/maps/place/Shababeek+Restaurant/data=!4m7!3m6!1s0x3e5f5b2ea2b680af:0xc5f29ce83b910ca2!8m2!3d25.3225!4d55.3761111!16s%2Fg%2F11rrrscyf5!19sChIJr4C2oi5bXz4RogyRO-ic8sU?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
The Grove Restaurant ذا غروف,,+971 58 831 7543,Al Ittihad St,4.5,2807,Unknown,https://www.google.com/maps/place/The+Grove+Restaurant+%D8%B0%D8%A7+%D8%BA%D8%B1%D9%88%D9%81%E2%80%AD/data=!4m7!3m6!1s0x3ef5f99c0f308a95:0x54bd52eb66384df8!8m2!3d25.4261074!4d55.4980888!16s%2Fg%2F11gxtjqmn9!19sChIJlYowD5z59T4R-E04ZutSvVQ?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
"Charsi Restaurant, Ajman",,+971 54 477 3328,behind Brother gas,4.7,3848,Unknown,"https://www.google.com/maps/place/Charsi+Restaurant,+Ajman/data=!4m7!3m6!1s0x3e5f59080275ef6b:0x7cd3b785fcc2519f!8m2!3d25.3768049!4d55.4605849!16s%2Fg%2F11ptcdcl0c!19sChIJa-91AghZXz4Rn1HC_IW303w?authuser=0&hl=en&rclk=1",73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Skazka al saha Russian Restaurant Ajman,,+971 52 501 0022,Al Malika Hotel Apartment - 10 Al Zahir Street,4.5,454,Unknown,https://www.google.com/maps/place/Skazka+al+saha+Russian+Restaurant+Ajman/data=!4m7!3m6!1s0x3e5f57624ecc6baf:0x794b2ab2f06725b8!8m2!3d25.4063752!4d55.4323098!16s%2Fg%2F11ggr0kt7x!19sChIJr2vMTmJXXz4RuCVn8LIqS3k?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
مطعم بيراديز الهندي - قرطبه peradiz,,+966 57 024 5766,Khalid Ibn Al Walid St,4.7,16188,Unknown,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A8%D9%8A%D8%B1%D8%A7%D8%AF%D9%8A%D8%B2+%D8%A7%D9%84%D9%87%D9%86%D8%AF%D9%8A+-+%D9%82%D8%B1%D8%B7%D8%A8%D9%87+peradiz%E2%80%AD/data=!4m7!3m6!1s0x3e2efd292072aaeb:0xb1c635b91905fc74!8m2!3d24.8069995!4d46.7362779!16s%2Fg%2F11t7f4_s7l!19sChIJ66pyICn9Lj4RdPwFGbk1xrE?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Princess Café & Restaurant - Jeddah Vibes Mall,,+966 53 766 4450,"Muhammad Ibn Abdul Aziz, Prince",4.5,612,Unknown,https://www.google.com/maps/place/Princess+Caf%C3%A9+%26+Restaurant+-+Jeddah+Vibes+Mall/data=!4m7!3m6!1s0x15c3d1c95cf296a3:0xed4d727f6967771c!8m2!3d21.5513297!4d39.1596565!16s%2Fg%2F11z7q4t8zq!19sChIJo5byXMnRwxURHHdnaX9yTe0?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bosna Grill بوسنا جريل,,+966 54 898 7859,Hira St,4.7,1732,Unknown,https://www.google.com/maps/place/Bosna+Grill+%D8%A8%D9%88%D8%B3%D9%86%D8%A7+%D8%AC%D8%B1%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x15c3dba32f0a63c3:0xb200ea6843bd081!8m2!3d21.6122893!4d39.1492941!16s%2Fg%2F11xnhms72t!19sChIJw2MKL6PbwxURgdA7hKYOIAs?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
SMAT Restaurant,,+974 6666 4448,"Orient Pearl Restaurant Second Floor, Corniche Doha Near Rass Abu Aboud Signal, Emrair St",4.5,898,Unknown,https://www.google.com/maps/place/SMAT+Restaurant/data=!4m7!3m6!1s0x3e45c584ed510a1f:0xc2d9738eb08ee817!8m2!3d25.2898831!4d51.5476441!16s%2Fg%2F11lf_7mq66!19sChIJHwpR7YTFRT4RF-iOsI5z2cI?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
THE BIG CHEF RESTAURANT,,+971 6 538 8849,Al Nad,4.0,429,Unknown,https://www.google.com/maps/place/THE+BIG+CHEF+RESTAURANT/data=!4m7!3m6!1s0x3e5f5b975d6a5273:0x48e06a0a66355397!8m2!3d25.3400338!4d55.390236!16s%2Fg%2F11rylf6nml!19sChIJc1JqXZdbXz4Rl1M1Zgpq4Eg?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
The View Restaurant & Café,,+971 56 177 5366,ajman Marsa,4.3,292,Unknown,https://www.google.com/maps/place/The+View+Restaurant+%26+Caf%C3%A9/data=!4m7!3m6!1s0x3e5f57f6884f88a7:0xb329468c90e1a12!8m2!3d25.4204284!4d55.443542!16s%2Fg%2F11szd62zkt!19sChIJp4hPiPZXXz4REhoOyWiUMgs?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
ZanziBar - Beachfront Restaurant & Bar,,+971 6 714 5582,,4.4,745,Unknown,https://www.google.com/maps/place/ZanziBar+-+Beachfront+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3e5f5773f902a10f:0x74ab5cf7f0f64785!8m2!3d25.4226923!4d55.4414476!16s%2Fg%2F11btlpy27x!19sChIJD6EC-XNXXz4RhUf28Pdcq3Q?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Ajman Restaurant,,+971 50 597 2589,Liwara 1,4.1,112,Unknown,https://www.google.com/maps/place/Ajman+Restaurant/data=!4m7!3m6!1s0x3e5f57801cf242d3:0x7bc691cc838b2876!8m2!3d25.4090493!4d55.4474075!16s%2Fg%2F11dylw5hgx!19sChIJ00LyHIBXXz4RdiiLg8yRxns?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Bukhara - Northern Indian Restaurant,,+971 6 714 5582,Sheikh Humaid Bin Rashid Al Nuaimi Ajman Hotel (Cornish Road,4.3,495,Unknown,https://www.google.com/maps/place/Bukhara+-+Northern+Indian+Restaurant/data=!4m7!3m6!1s0x3e5f57741ed2b23f:0x71b4da56d710bb98!8m2!3d25.4228997!4d55.4428094!16s%2Fg%2F11bbwrj7zl!19sChIJP7LSHnRXXz4RmLsQ11batHE?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Sultan's Steakhouse Riyadh,,+966 55 563 3706,"The Boulevard, Prince Turki Bin Abdulaziz Al Awal Rd",4.2,8461,Unknown,https://www.google.com/maps/place/Sultan%27s+Steakhouse+Riyadh/data=!4m7!3m6!1s0x3e2ee231aaaaaabd:0xa696d76a265a902d!8m2!3d24.7501012!4d46.614355!16s%2Fg%2F11cm_qfw79!19sChIJvaqqqjHiLj4RLZBaJmrXlqY?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Steak House,,+966 50 182 6663,"King Khalid International Airport, Airport Road, Riyadh front unit # G-GF-10+9B+8B",4.4,3991,Unknown,https://www.google.com/maps/place/Steak+House/data=!4m7!3m6!1s0x3e2efdc9d3861949:0xa05f0876060d330a!8m2!3d24.8407079!4d46.7335112!16s%2Fg%2F11j07w1t4b!19sChIJSRmG08n9Lj4RCjMNBnYIX6A?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Chili's,,+966 12 665 8504,Palestine، شارع الاندلس، حي الحمراء,4.1,7854,Unknown,https://www.google.com/maps/place/Chili%27s/data=!4m7!3m6!1s0x15c3cf8d723211a5:0x2d26a11a229feafe!8m2!3d21.5227136!4d39.1636744!16s%2Fg%2F1v0bv_jx!19sChIJpREyco3PwxUR_uqfIhqhJi0?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Pattaya Restaurant,,+966 55 987 4289,6920 Abdul Rahman Ibn Ahmad As Sidayri,4.0,545,Unknown,https://www.google.com/maps/place/Pattaya+Restaurant/data=!4m7!3m6!1s0x15c3d07e7bf60ecd:0xfe6151b0e108f280!8m2!3d21.5833356!4d39.1590706!16s%2Fg%2F11cn30k0hb!19sChIJzQ72e37QwxURgPII4bBRYf4?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
